,CVE_DOC,FECHA_DOC,NOMBRE_VENDEDOR,NOMBRE_CLIENTE,CANT,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
6,F37044,2022-01-05,DIEGO ARMANDO LEON DURAN,AIRBUS HELICOPTERS MEXICO QUERETARO,1,RP00165,REPARACION DE BATIDOR 16.6KW 440V,14000.0,5323.76,5323.76,14000.0,5323.76,8676.24,8676.24
40,F37102,2022-01-12,ALFREDO CANELA,DEACERO,3,TUE00321,"TUB INOX 1/2""ØX1030MMX980MM 3KW480V ""L""",12720.0,0.0,1509.14,38160.0,4527.42,11210.86,33632.58
122,F37260,2022-02-02,LETICIA RAMIREZ HERNANDEZ,SUPER SACOS SAN LUIS,2,CBS00002,"CAR BAJA INOX 5/8x97CMS 2400W 440V CABL""",3892.24,492.92,492.92,3892.24,492.92,3399.32,3399.32
145,F37318,2022-02-09,ALFREDO CANELA,PROFFINOX,3,TUA00415,"TUB INOX 7/16""ØX58CM 8000W240V ""U"" CLAMP",3859.99,0.0,418.59,11579.97,1255.77,3441.4,10324.2
150,F37331,2022-02-10,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,3,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,0.0,791.1,9159.75,2373.3,2262.15,6786.45
191,F37418,2022-02-18,ALFREDO CANELA,CLAVOS NACIONALES C.N,3,TEA00023,"TEA K 1/2""Øx1800mm CON1/2-1/2 C/MARINA",8500.0,0.0,3061.83,12750.0,4592.74,5438.17,8157.26
220,F37458,2022-02-24,LETICIA RAMIREZ HERNANDEZ,EDGAR GARCIA HERNANDEZ,3,CBS00101,CBS INOX 27MMØX180CM 1000W 440V CAJA ESP,3200.0,0.0,427.12,9600.0,1281.35,2772.88,8318.65
221,F37464,2022-02-24,DIEGO ARMANDO LEON DURAN,SIKA MEXICANA,6,TUA00427,"TUB INCOL 5/16""ØX355MM 9000W240V J T/BOI",3105.0,0.0,369.07,18630.0,2214.39,2735.93,16415.61
270,F37535,2022-03-03,ALFREDO CANELA,CARCOUSTICS INDUSTRIAL DE MEXICO,6,BS00006,BP S/BLINDA 300MMX698MM 2500W 230V 18BA,3890.0,918.12,918.12,23340.0,5508.73,2971.88,17831.27
271,F37535,2022-03-03,ALFREDO CANELA,CARCOUSTICS INDUSTRIAL DE MEXICO,6,BS00008,BP S/BLINDA 300MMX698MM 2000W 230V 18BA,3890.0,0.0,1133.81,23340.0,6802.89,2756.19,16537.11
273,F37539,2022-03-03,LETICIA RAMIREZ HERNANDEZ,JUAN CARLOS HERNANDEZ PEREZ,1,RP00181,REPARACION DE BRIDA DE 125KW 1240V DELTA,4315.0,0.0,41.26,4315.0,41.26,4273.74,4273.74
302,F37606,2022-03-11,DIEGO ARMANDO LEON DURAN,PKD,1,RM00017,"BOBINA 8020 110W 110V EN/TUBO INOX2""X30""",4650.5,2644.78,2644.78,4650.5,2644.78,2005.72,2005.72
